,Order,MSE
0,"(0, 1, 8, 8)",547881888.8205918
0,"(0, 1, 1, 7)",547912586.0025717
0,"(1, 1, 0, 7)",548410366.7432854
0,"(0, 2, 6, 5)",548977933.0587591
0,"(0, 1, 6, 7)",549865270.9045111
0,"(1, 1, 8, 8)",550237006.5928816
0,"(0, 1, 10, 7)",550370866.1894093
0,"(1, 1, 8, 7)",550841737.4706824
0,"(0, 1, 9, 6)",551633841.297624
0,"(1, 1, 3, 8)",551657849.9232142
0,"(1, 1, 1, 8)",552133681.0712923
0,"(1, 1, 2, 8)",552275315.4032388
0,"(1, 1, 9, 6)",552575115.8174235
0,"(1, 1, 8, 6)",553486437.2453811
0,"(1, 2, 3, 6)",554532097.1419549
0,"(0, 1, 0, 7)",554751407.1393791
0,"(0, 1, 5, 8)",555322108.2813574
0,"(0, 1, 8, 6)",555364958.3882504
0,"(0, 1, 4, 8)",558159353.4313956
0,"(1, 2, 5, 6)",558367414.2584193
0,"(1, 1, 7, 8)",559423851.5890516
0,"(0, 1, 8, 7)",560134696.0179827
0,"(0, 1, 2, 8)",561044693.2107512
0,"(0, 1, 1, 8)",561314000.272014
0,"(1, 1, 0, 8)",561466344.5720845
0,"(0, 1, 3, 8)",561947555.4529979
0,"(0, 1, 0, 8)",563788073.1789173
0,"(0, 1, 7, 8)",565842279.311554
0,"(1, 2, 3, 5)",565922307.704052
0,"(1, 1, 7, 7)",567207312.4101933
0,"(1, 2, 2, 6)",567414578.6337059
0,"(1, 2, 5, 5)",568124465.4733709
0,"(1, 2, 4, 5)",568261159.2796568
0,"(0, 1, 9, 8)",569022168.3770853
0,"(1, 1, 6, 8)",571712277.1300849
0,"(0, 1, 7, 7)",572133697.1584065
0,"(1, 2, 6, 6)",575132110.7129519
0,"(0, 1, 6, 8)",577258679.6108481
0,"(1, 1, 7, 6)",581120532.8049557
0,"(1, 2, 7, 5)",583227514.752133
0,"(1, 2, 6, 5)",584578481.0161595
0,"(1, 1, 3, 9)",586463029.9217772
0,"(1, 1, 4, 9)",587278643.7787043
0,"(0, 1, 4, 9)",589100906.4832308
0,"(0, 1, 7, 9)",589169866.0837193
0,"(0, 1, 3, 9)",590105256.132476
0,"(0, 1, 0, 9)",590330867.1904695
0,"(1, 1, 2, 9)",591509828.5115949
0,"(0, 1, 1, 9)",591517723.3695058
0,"(0, 1, 2, 9)",591530725.8057896
0,"(1, 1, 1, 9)",591536965.3455725
0,"(1, 1, 0, 9)",591594354.6330019
0,"(1, 1, 7, 9)",593628132.7371992
0,"(0, 1, 11, 7)",594197959.4606162
0,"(1, 1, 11, 7)",594233073.7722752
0,"(0, 1, 11, 8)",594854627.8330433
0,"(2, 0, 5)",596222378.1211724
0,"(1, 1, 10, 10)",596738208.4903096
0,"(1, 2, 1)",597105670.0553398
0,"(1, 1, 6, 7)",600824045.2057211
0,"(1, 1, 11, 8)",602246667.9757038
0,"(1, 1, 10, 8)",603143613.9316853
0,"(1, 1, 11, 9)",604880085.4361695
0,"(0, 1, 5, 9)",605938900.7425764
0,"(1, 1, 10, 12)",607274243.5909622
0,"(1, 2, 1, 8)",608066626.4443648
0,"(1, 1, 5, 9)",609777258.2982475
0,"(1, 1, 11, 11)",610711952.038135
0,"(1, 1, 6, 9)",610824209.0447348
0,"(0, 1, 6, 9)",611861777.5454222
0,"(1, 1, 9, 8)",611974520.9323106
0,"(0, 1, 10, 12)",613816256.9395871
0,"(1, 1, 10, 9)",614145776.0744185
0,"(0, 1, 10, 8)",614533714.3433992
0,"(0, 1, 8, 9)",615945556.1792243
0,"(0, 1, 11, 9)",617071966.4658184
0,"(0, 1, 0, 10)",619755064.0358181
0,"(1, 1, 3, 10)",620521660.320843
0,"(1, 1, 4, 10)",620784979.0408658
0,"(0, 1, 3, 10)",620924096.1789
0,"(1, 1, 2, 10)",622214835.7627217
0,"(0, 1, 11, 11)",622554734.2429749
0,"(1, 1, 7, 10)",622848037.664328
0,"(0, 1, 6, 10)",623105336.198214
0,"(0, 1, 1, 10)",623899678.1735213
0,"(1, 1, 0, 10)",624078689.9171153
0,"(0, 1, 4, 10)",624360723.3658819
0,"(1, 1, 1, 10)",624423172.252276
0,"(0, 1, 2, 10)",624598477.018878
0,"(1, 2, 2, 5)",625609223.3165479
0,"(1, 1, 6, 10)",626017167.5665804
0,"(1, 1, 1, 12)",626367503.5115612
0,"(1, 1, 2, 12)",626569569.4235953
0,"(1, 1, 3, 12)",629896736.811314
0,"(0, 1, 0, 12)",630600115.234779
0,"(0, 1, 0, 11)",631506348.005218
0,"(1, 1, 6, 12)",631783207.7192804
0,"(0, 1, 2, 12)",633420610.8226398
0,"(0, 1, 1, 12)",633996367.3766913
0,"(0, 1, 3, 12)",634118640.4135412
0,"(1, 1, 0, 12)",634182017.7296463
0,"(0, 1, 10, 9)",635166111.2045761
0,"(1, 0, 6)",635620030.6359922
0,"(0, 1, 1, 11)",636339663.5613362
0,"(1, 1, 0, 11)",636590910.1917826
0,"(1, 1, 1, 11)",636788603.6301246
0,"(0, 1, 3, 11)",636810159.277489
0,"(0, 1, 2, 11)",637092162.6460757
0,"(1, 1, 2, 11)",637143185.6601595
0,"(1, 2, 1, 7)",637172482.493465
0,"(1, 1, 5, 10)",637198254.9966491
0,"(1, 1, 3, 11)",637254138.3959625
0,"(0, 1, 7, 10)",638305286.1187689
0,"(0, 1, 5, 12)",639012047.877004
0,"(1, 0, 3)",639501058.0786009
0,"(1, 1, 6, 11)",640672888.1707481
0,"(1, 1, 5, 12)",643063102.4147444
0,"(1, 1, 9, 10)",643597762.8190249
0,"(0, 1, 6, 11)",646080115.2078263
0,"(1, 1, 9, 9)",646149558.5924743
0,"(1, 1, 4, 12)",647107601.2913498
0,"(0, 1, 5, 10)",649379718.8114051
0,"(0, 1, 11, 10)",651540719.3157225
0,"(0, 1, 5, 11)",651829192.3942895
0,"(1, 1, 4, 11)",652065356.8453604
0,"(0, 1, 4, 11)",652325974.0499556
0,"(0, 1, 9, 9)",652704484.9389594
0,"(1, 1, 8, 9)",653389093.2365714
0,"(1, 1, 5, 11)",654258542.2994184
0,"(1, 2, 1, 5)",657786939.6998913
0,"(0, 1, 9, 10)",659711335.6607405
0,"(1, 2, 1, 6)",660004107.9043142
0,"(0, 1, 4, 12)",660099029.2708733
0,"(1, 2, 6, 10)",661440650.5299653
0,"(1, 0, 2)",666052271.2292055
0,"(0, 1, 10, 11)",666445015.8180696
0,"(1, 1, 8, 12)",669047221.233289
0,"(0, 2, 10, 12)",669224829.270591
0,"(0, 1, 8, 12)",669849814.5473926
0,"(0, 1, 6, 12)",670153956.7981012
0,"(0, 2, 2, 8)",670306867.4193153
0,"(1, 1, 8, 10)",671794459.5969514
0,"(1, 1, 9, 12)",672889739.0681041
0,"(0, 1, 9, 12)",674017759.6714903
0,"(1, 0, 4)",676346502.7560278
0,"(1, 1, 9, 11)",678523048.1290681
0,"(0, 1, 9, 11)",678825650.5970484
0,"(1, 1, 11, 10)",680651072.4958941
0,"(1, 1, 7, 12)",683768304.5239384
0,"(0, 1, 8, 10)",684397679.0595464
0,"(0, 1, 8, 11)",689253693.03371
0,"(1, 1, 7, 11)",693660227.5865498
0,"(1, 1, 11, 12)",695418460.9174936
0,"(1, 1, 8, 11)",696642342.2044523
0,"(1, 1, 10, 11)",698928445.5130835
0,"(0, 1, 7, 11)",702595642.5486416
0,"(0, 2, 11, 11)",702882812.8856027
0,"(0, 1, 7, 12)",703737697.3004968
0,"(1, 2, 5, 12)",714449825.1510717
0,"(0, 1, 11, 12)",717848360.3210062
0,"(1, 0, 5)",728581377.4059274
0,"(1, 0, 7)",792433300.5065211
0,"(2, 0, 1)",796581797.0721923
0,"(1, 0, 0)",805477778.6894732
0,"(1, 2, 11, 12)",882706693.4822419
0,"(1, 0, 10)",907455449.3369457
0,"(1, 0, 9)",921741086.9075522
0,"(1, 0, 8)",928314385.0890275
0,"(1, 2, 10, 12)",936391334.1480376
0,"(0, 1, 10, 10)",965349294.6216513
0,"(1, 0, 11)",969837114.241389
0,"(1, 2, 11, 11)",991601469.0507715
0,"(2, 0, 3)",1099754901.1224942
0,"(2, 0, 2)",1152686872.9856894
0,"(2, 0, 3, 5)",1194868437.743175
0,"(1, 0, 0, 5)",1284583794.3168736
0,"(2, 0, 4)",1314663422.3198519
0,"(1, 0, 0, 6)",1340265493.545828
0,"(1, 0, 0, 7)",1393583691.492973
0,"(1, 0, 10, 5)",1406171508.3611379
0,"(1, 0, 11, 6)",1411704346.5839233
0,"(2, 0, 2, 7)",1423297136.988442
0,"(1, 0, 0, 8)",1447207991.320555
0,"(1, 0, 8, 6)",1466738652.259495
0,"(1, 0, 7, 7)",1482224871.8699775
0,"(2, 0, 2, 6)",1484863032.8126092
0,"(1, 0, 3, 5)",1485580542.344111
0,"(1, 0, 9, 5)",1488458751.8927016
0,"(1, 0, 6, 8)",1509662020.1443927
0,"(1, 0, 10, 10)",1512944807.9069848
0,"(1, 0, 0, 9)",1540730679.5148625
0,"(1, 0, 1, 5)",1541129179.02548
0,"(1, 0, 5, 9)",1544864723.917166
0,"(1, 0, 2, 6)",1554870802.3883283
0,"(2, 0, 5, 5)",1557726309.9056375
0,"(1, 0, 5, 5)",1562548799.8822508
0,"(2, 0, 4, 5)",1563712419.3477445
0,"(1, 0, 2, 7)",1564614024.9114666
0,"(2, 0, 1, 7)",1566206540.5499105
0,"(2, 0, 1, 6)",1566637386.6547358
0,"(1, 0, 6, 5)",1570313172.3186576
0,"(2, 0, 5, 8)",1572469850.5443473
0,"(1, 0, 4, 5)",1581109699.8154924
0,"(1, 0, 5, 6)",1585426443.6893332
0,"(1, 0, 4, 6)",1591417315.7855139
0,"(1, 0, 3, 6)",1591684222.2435772
0,"(2, 0, 3, 6)",1595705994.6894407
0,"(2, 0, 4, 6)",1596324787.5159945
0,"(1, 0, 8, 9)",1598862389.0908155
0,"(2, 0, 4, 7)",1605256017.5409656
0,"(1, 0, 4, 7)",1605529841.1525302
0,"(2, 0, 0, 5)",1606770310.9139266
0,"(1, 0, 10, 7)",1608394137.467113
0,"(2, 0, 5, 9)",1612440352.3152916
0,"(1, 0, 9, 8)",1619221843.3401952
0,"(1, 0, 0, 10)",1631487435.7195108
0,"(1, 0, 3, 7)",1631776471.1190176
0,"(2, 0, 2, 8)",1632986659.9667418
0,"(0, 2, 2, 5)",1633242009.8752341
0,"(2, 0, 1, 5)",1634845188.524785
0,"(1, 0, 8, 8)",1639791636.8359377
0,"(2, 0, 3, 7)",1641600293.20498
0,"(1, 0, 11, 8)",1644101272.3217208
0,"(1, 0, 10, 8)",1647706791.6776457
0,"(1, 0, 11, 5)",1647981457.044796
0,"(2, 0, 2, 5)",1648722473.1485374
0,"(1, 0, 9, 7)",1649634406.210114
0,"(2, 0, 5, 6)",1653236789.424745
0,"(1, 0, 1, 6)",1658534461.3221042
0,"(1, 0, 6, 7)",1666739112.2158906
0,"(1, 0, 3, 8)",1670712519.560862
0,"(1, 0, 2, 8)",1673684665.1416
0,"(1, 0, 7, 9)",1674992917.6112661
0,"(1, 0, 7, 6)",1679911088.0491858
0,"(1, 0, 4, 11)",1681064997.0305197
0,"(2, 0, 0, 6)",1682075372.9017866
0,"(1, 0, 9, 9)",1684128275.1229131
0,"(1, 0, 2, 5)",1687816436.075119
0,"(2, 0, 1, 8)",1689599154.1944222
0,"(1, 0, 0, 11)",1690516114.9110944
0,"(1, 0, 11, 7)",1694453275.102862
0,"(1, 0, 9, 6)",1694559315.2338426
0,"(2, 0, 3, 8)",1702337201.903229
0,"(1, 0, 5, 10)",1714542614.904381
0,"(1, 0, 4, 12)",1718382067.6648374
0,"(1, 0, 0, 12)",1724341893.1654825
0,"(1, 0, 10, 9)",1736519271.7670217
0,"(1, 0, 7, 8)",1738163606.6081674
0,"(1, 0, 6, 11)",1740955579.5431454
0,"(2, 0, 2, 9)",1744986470.4491363
0,"(1, 0, 1, 8)",1746471021.1274893
0,"(1, 0, 6, 12)",1748585558.8322816
0,"(1, 0, 8, 7)",1749057047.1867878
0,"(1, 0, 2, 9)",1754130951.9996903
0,"(1, 0, 1, 7)",1755604055.4047348
0,"(2, 0, 1, 9)",1756930764.552079
0,"(1, 0, 7, 12)",1758672485.7519207
0,"(1, 0, 5, 8)",1758784642.5307856
0,"(2, 0, 0, 8)",1765459475.0271635
0,"(1, 0, 8, 10)",1771073984.223028
0,"(2, 0, 0, 7)",1771097239.7380774
0,"(1, 0, 7, 10)",1771883022.8090146
0,"(1, 0, 7, 5)",1774658684.1732724
0,"(2, 0, 5, 10)",1778598206.685696
0,"(1, 0, 11, 9)",1780223836.428151
0,"(2, 0, 4, 12)",1780324965.6305394
0,"(1, 0, 8, 5)",1781851644.6821854
0,"(1, 0, 1, 9)",1784643693.4406345
0,"(1, 0, 3, 9)",1788191223.8700721
0,"(1, 0, 7, 11)",1799188184.5649436
0,"(2, 0, 0, 9)",1800608458.3343658
0,"(1, 0, 6, 9)",1801106265.3187325
0,"(1, 0, 8, 11)",1805196928.2631266
0,"(2, 0, 4, 11)",1811882883.561928
0,"(2, 0, 3, 9)",1816270768.5873144
0,"(1, 0, 10, 6)",1826680499.0783336
0,"(1, 0, 2, 10)",1827438020.4039245
0,"(1, 0, 9, 10)",1829879100.9336045
0,"(2, 0, 2, 10)",1833346787.3777752
0,"(1, 0, 5, 12)",1833831577.574605
0,"(1, 0, 4, 10)",1836086205.8088868
0,"(2, 0, 4, 8)",1846104573.9805937
0,"(1, 0, 1, 10)",1848886105.7135837
0,"(2, 0, 1, 10)",1851266211.6558251
0,"(1, 0, 4, 8)",1860350469.042659
0,"(1, 0, 6, 10)",1860601906.7674692
0,"(2, 0, 0, 10)",1861159757.1929996
0,"(2, 0, 4, 10)",1862527783.0443966
0,"(1, 0, 1, 12)",1871033048.3717062
0,"(1, 0, 8, 12)",1876760860.4310102
0,"(1, 0, 1, 11)",1879375452.9608834
0,"(2, 0, 0, 12)",1881669182.1504161
0,"(2, 0, 5, 7)",1883554613.2669492
0,"(1, 0, 2, 11)",1888439362.4453602
0,"(2, 0, 0, 11)",1893948663.1206682
0,"(1, 0, 5, 7)",1903049868.280088
0,"(1, 0, 9, 11)",1904194287.3933427
0,"(2, 0, 2, 11)",1911001279.963114
0,"(2, 0, 1, 11)",1912898794.7034447
0,"(2, 0, 1, 12)",1918335595.916758
0,"(2, 0, 2, 12)",1932167843.3082724
0,"(1, 0, 2, 12)",1941545787.9576805
0,"(2, 0, 3, 12)",1943218339.5999372
0,"(1, 0, 6, 6)",1950387366.0634017
0,"(1, 0, 5, 11)",1952132963.2781672
0,"(1, 0, 3, 12)",1965801062.4758472
0,"(1, 0, 4, 9)",1993409128.4772854
0,"(1, 0, 11, 12)",1997140405.7429454
0,"(2, 0, 3, 10)",2023080956.0424807
0,"(1, 0, 3, 10)",2029972326.1596982
0,"(1, 0, 10, 11)",2051790770.4999537
0,"(2, 0, 4, 9)",2074196573.6802275
0,"(1, 0, 3, 11)",2098987797.9241254
0,"(1, 0, 11, 10)",2117780973.50094
0,"(1, 0, 10, 12)",2122003793.1881003
0,"(2, 0, 3, 11)",2129236463.2018287
0,"(1, 0, 9, 12)",2145491692.593481
0,"(0, 2, 1, 12)",2187541643.221996
0,"(1, 0, 11, 11)",2244586054.2208114
0,"(0, 2, 2, 6)",2862004790.2759514
0,"(0, 2, 1, 6)",3830783121.0219297
0,"(0, 2, 1, 9)",4023424885.8176103
0,"(0, 2, 1, 11)",4133425575.72999
0,"(0, 2, 1, 10)",4798994575.330133
0,"(0, 2, 1, 7)",4799801313.220286
0,"(0, 2, 1, 8)",5252385038.254328
0,"(0, 2, 1, 5)",6911576041.984934
0,"(0, 0, 11, 12)",7751515797.538815
0,"(0, 0, 11, 11)",7765690915.174727
0,"(0, 0, 10, 12)",7768057784.428882
0,"(0, 0, 11, 10)",7801776808.343756
0,"(0, 0, 10, 11)",7805050250.287072
0,"(0, 0, 9, 12)",7815118983.581295
0,"(0, 0, 10, 10)",7834807782.891949
0,"(0, 0, 9, 11)",7837850902.561399
0,"(0, 0, 8, 12)",7846398884.93673
0,"(0, 0, 11, 9)",7851673564.075388
0,"(0, 0, 10, 7)",7866755006.130986
0,"(0, 0, 10, 8)",7889565085.044745
0,"(0, 0, 10, 9)",7904469421.0449505
0,"(0, 0, 11, 8)",7920782822.476551
