,Order,MSE
0,"(0, 2, 10, 7)",994837077.6526269
0,"(2, 1, 10, 10)",998190030.269342
0,"(2, 1, 9, 10)",1003386701.5990653
0,"(1, 2, 6, 10)",1019884726.9167477
0,"(1, 1, 9, 7)",1021433540.3809975
0,"(2, 1, 7, 10)",1022728308.2865356
0,"(0, 2, 4, 6)",1027172989.03764
0,"(3, 1, 8, 10)",1028328461.3670771
0,"(0, 2, 7, 7)",1030599298.8953124
0,"(1, 2, 4, 6)",1031295585.5582857
0,"(0, 2, 6, 7)",1033502494.853618
0,"(2, 1, 2, 10)",1038758306.4800756
0,"(0, 2, 5, 6)",1044336640.5438681
0,"(3, 2, 0, 6)",1045177889.2305796
0,"(2, 2, 3, 7)",1045619976.0981106
0,"(0, 2, 1, 6)",1050934300.2767601
0,"(0, 1, 11, 8)",1052410903.0962337
0,"(0, 1, 9, 9)",1052686339.6348716
0,"(1, 2, 2, 6)",1056908388.8410277
0,"(1, 2, 7, 7)",1058661799.5552679
0,"(1, 1, 10, 10)",1060166827.2493603
0,"(0, 2, 1, 5)",1064113129.1541467
0,"(0, 1, 11, 10)",1066620787.9906098
0,"(1, 1, 11, 10)",1067640168.3867912
0,"(2, 2, 11)",1072231849.6553084
0,"(0, 1, 10, 10)",1076424275.8337574
0,"(1, 2, 6, 7)",1077845454.4861648
0,"(2, 2, 4, 7)",1079129438.7256665
0,"(3, 1, 11, 12)",1086840253.1438537
0,"(3, 1, 8, 12)",1091167262.8105521
0,"(1, 2, 5, 6)",1093571011.6373541
0,"(1, 1, 3, 5)",1097363060.227659
0,"(0, 2, 1)",1106374879.3533924
0,"(3, 1, 11, 7)",1111461379.8850882
0,"(1, 2, 2, 7)",1114661053.74569
0,"(0, 1, 10, 7)",1116821656.1422336
0,"(3, 1, 10, 7)",1122913135.3377454
0,"(1, 1, 7, 9)",1130248443.9144967
0,"(3, 1, 10, 12)",1131707776.975032
0,"(2, 1, 10, 12)",1132093836.8267918
0,"(2, 1, 11, 7)",1137369997.0491247
0,"(2, 2, 1, 7)",1141283686.861745
0,"(2, 1, 9, 12)",1141774709.4511037
0,"(3, 1, 9, 12)",1142789651.3418849
0,"(0, 1, 9, 10)",1146248361.1218655
0,"(1, 1, 9, 9)",1149687311.9100404
0,"(2, 1, 11, 12)",1151285878.3196805
0,"(1, 0, 0)",1168297651.5131183
0,"(2, 2, 9, 7)",1173951787.0378525
0,"(0, 1, 7, 10)",1176961195.1459062
0,"(2, 1, 8, 12)",1184100352.9975324
0,"(0, 2, 8, 7)",1185405915.5773575
0,"(1, 2, 5, 7)",1196540572.0298858
0,"(2, 1, 10, 7)",1197099167.133634
0,"(0, 2, 3, 7)",1208592211.1447356
0,"(2, 1, 7, 12)",1208781482.5211806
0,"(3, 1, 6, 12)",1215526965.607971
0,"(3, 1, 7, 12)",1218860041.4049118
0,"(0, 1, 10, 8)",1219350412.640337
0,"(1, 2, 3, 7)",1223734328.9363751
0,"(0, 1, 11, 12)",1226700531.015725
0,"(1, 1, 11, 12)",1227209945.5231116
0,"(0, 2, 5, 7)",1232891800.6474779
0,"(0, 1, 8, 10)",1240144004.5015228
0,"(0, 1, 10, 12)",1240904824.247311
0,"(1, 1, 10, 12)",1240955542.7173195
0,"(0, 1, 9, 12)",1256453857.6486218
0,"(1, 1, 8, 10)",1256709459.4353814
0,"(2, 1, 11, 6)",1257418931.050656
0,"(1, 1, 9, 12)",1257524729.5924032
0,"(2, 1, 6, 12)",1258830443.4208782
0,"(1, 1, 8, 12)",1259254460.5827353
0,"(1, 1, 8, 9)",1259861657.4975607
0,"(1, 1, 7, 10)",1260581361.7718809
0,"(2, 2, 4, 10)",1272360044.8046384
0,"(0, 2, 4, 7)",1275449039.3455212
0,"(1, 2, 4, 7)",1276461316.6545727
0,"(0, 1, 8, 12)",1308049432.0203412
0,"(3, 1, 7, 9)",1308566846.776008
0,"(1, 1, 10, 8)",1321710453.7564213
0,"(3, 1, 4, 6)",1322137539.398888
0,"(2, 1, 1, 6)",1329618001.8864753
0,"(1, 2, 8, 7)",1330720228.8601942
0,"(3, 2, 0, 5)",1354524013.029854
0,"(3, 1, 8, 5)",1360518488.1694982
0,"(2, 1, 9, 6)",1374082102.6885068
0,"(2, 2, 11, 12)",1378188072.051253
0,"(1, 2, 10, 6)",1384745552.7838657
0,"(0, 2, 2, 7)",1387318630.5916653
0,"(3, 1, 4, 9)",1389059181.6010134
0,"(3, 1, 7, 5)",1393207869.43596
0,"(0, 1, 0, 5)",1397162028.507452
0,"(1, 2, 11, 12)",1397654292.6864483
0,"(2, 2, 5, 10)",1398080179.4285493
0,"(2, 1, 4, 6)",1399219202.6996977
0,"(3, 1, 6, 7)",1401946670.9747038
0,"(0, 2, 9, 9)",1409663229.7393174
0,"(3, 1, 9, 7)",1410660037.737861
0,"(2, 2, 9, 9)",1415407307.105187
0,"(0, 2, 11, 12)",1416177723.3045828
0,"(1, 1, 4, 6)",1420065286.1627965
0,"(0, 2, 1, 7)",1420832899.3961535
0,"(1, 2, 9, 9)",1421900471.308598
0,"(1, 1, 9, 8)",1422952493.9722743
0,"(2, 2, 8, 9)",1426453967.1696155
0,"(1, 2, 0)",1435381696.1038408
0,"(2, 2, 10)",1435528208.8596427
0,"(3, 1, 2, 6)",1435816120.7730114
0,"(2, 2, 11, 9)",1440447645.5036457
0,"(1, 2, 8, 9)",1440713231.9442284
0,"(0, 2, 10, 9)",1445162135.9670448
0,"(2, 2, 10, 9)",1446397851.450649
0,"(1, 2, 10, 9)",1451317958.5067995
0,"(2, 2, 0, 6)",1452005404.3811307
0,"(0, 1, 11, 7)",1452468443.4763415
0,"(3, 1, 2, 7)",1453053685.0939744
0,"(0, 1, 9, 5)",1453623174.80244
0,"(3, 2, 0, 7)",1454191487.5761807
0,"(1, 2, 10, 12)",1454797453.2139966
0,"(1, 2, 11, 9)",1456279989.8486698
0,"(0, 2, 11, 9)",1457762363.6927497
0,"(0, 2, 10, 12)",1462059813.8341382
0,"(2, 2, 10, 12)",1462469844.6600807
0,"(1, 1, 9, 5)",1462561026.5918825
0,"(3, 1, 9, 6)",1469512755.657693
0,"(0, 1, 7, 12)",1471578881.1265693
0,"(3, 1, 1, 6)",1473308529.3375022
0,"(1, 1, 7, 12)",1475214625.193806
0,"(0, 1, 6, 12)",1484113704.9070415
0,"(3, 1, 7, 7)",1485999956.279156
0,"(2, 1, 4, 7)",1486735032.2983496
0,"(1, 1, 6, 12)",1487782511.1305053
0,"(0, 1, 6, 5)",1506060900.3401084
0,"(0, 1, 10, 5)",1514486990.4130573
0,"(1, 2, 9, 8)",1514806993.3794987
0,"(1, 1, 11, 7)",1516789641.951819
0,"(2, 2, 10, 8)",1518233038.5077772
0,"(3, 1, 6, 5)",1518805389.336303
0,"(1, 2, 11, 8)",1519819944.3897333
0,"(0, 2, 10, 8)",1520330988.4682572
0,"(0, 2, 11, 8)",1520360164.9660895
0,"(2, 2, 11, 8)",1520585463.4286253
